No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
171,25 microns (IRAS),8.0,+/-0.034,Jy,1.2E13,8.0,0.034,0.034,,,+/-3.40E-02,Jy,2003AJ....126.1607S,1 sigma,25   microns,Broad-band measurement,15 34 57.1 +23 30 10 (J2000),Total flux,"Size, Method, Flag codes: UT;see paper",From reprocessed raw data
172,25 microns (Spitzer),6.966,,Jy,1.2E13,6.97,,,,,,Jy,2011ApJ...730...19S,no uncertainty reported,25 microns,Broad-band measurement,15 34 57.24 +23 30 11.7 (J2000),Flux in fixed aperture,,From reprocessed raw data
173,25 microns (Spitzer),9600.5,,milliJy,1.2E13,9.6,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,25 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
174,25 microns (IRAS),7.92,+/-0.038,Jy,1.2E13,7.92,0.038,0.038,,,+/-3.80E-02,Jy,1989AJ.....98..766S,rms noise,25         microns,Broad-band measurement,153246.3 +234008 (B1950),Integrated from scans,Unresolved with 0.78' beam,From reprocessed raw data
175,25 microns (IRAS),7.907,+/-5   %,Jy,1.2E13,7.91,0.0242,0.0242,,,+/-2.42E-02,Jy,1990IRASF.C...0000M,uncertainty,25        microns,Broad-band measurement,153246.8 +234007 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
180,H_2S(0) (Spitzer),,<0.810E-13,erg/s/cm^2^,1.06E13,,,,7.64E-4,,<7.64E-04,Jy,2014ApJ...790..124S,3 sigma,28.2 microns,Broad-band measurement,,From fitting to map,,From new raw data
181,30 microns (Spitzer),22871.5,,milliJy,9.99E12,22.9,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,30 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
185,52 microns (ISO),120.9,+/-10.8,Jy,5.77E12,121.0,10.8,10.8,,,+/-1.08E+01,Jy,2008ApJS..178..280B,uncertainty,52 microns,Broad-band measurement,15 34 57.34 +23 30 11.9 (J2000),Flux integrated from map,,From new raw data
186,57 microns (ISO),134.2,+/-11.8,Jy,5.26E12,134.0,11.8,11.8,,,+/-1.18E+01,Jy,2008ApJS..178..280B,uncertainty,57 microns,Broad-band measurement,15 34 57.34 +23 30 11.9 (J2000),Flux integrated from map,,From new raw data
187,60 microns (IRAS),104.09,+/-0.112,Jy,5.0E12,104.0,0.112,0.112,,,+/-1.12E-01,Jy,2003AJ....126.1607S,1 sigma,60   microns,Broad-band measurement,15 34 57.1 +23 30 10 (J2000),Total flux,"Size, Method, Flag codes: UT;see paper",From reprocessed raw data
